PheromoneGlobalTerakhir
<<<<<<< HEAD
1E-05 ,0.01083398 ,0.00591015 ,Infinity ,Infinity ,0.007257114 ,0.0004292113 ,1E-05 ,0.01999218 ,
0.01083398 ,1E-05 ,1E-05 ,3.908286E+12 ,1E-05 ,0.0003895608 ,0.01732708 ,Infinity ,0.02458599 ,
0.00591015 ,1E-05 ,1E-05 ,Infinity ,1E-05 ,1E-05 ,0.001551254 ,1E-05 ,Infinity ,
Infinity ,3.908286E+12 ,Infinity ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,0.002434955 ,
Infinity ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,Infinity ,0.02038539 ,1E-05 ,1E-05 ,
0.007257114 ,0.0003895608 ,1E-05 ,1E-05 ,Infinity ,1E-05 ,Infinity ,1E-05 ,0.003025996 ,
0.0004292113 ,0.01732708 ,0.001551254 ,1E-05 ,0.02038539 ,Infinity ,1E-05 ,Infinity ,1E-05 ,
1E-05 ,Infinity ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,Infinity ,1E-05 ,2.690741E+13 ,
0.01999218 ,0.02458599 ,Infinity ,0.002434955 ,1E-05 ,0.003025996 ,1E-05 ,2.690741E+13 ,1E-05 ,
=======
1E-05 ,1E-05 ,1E-05 ,0.0004553415 ,0.002196614 ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,
1E-05 ,1E-05 ,1E-05 ,0.0003188111 ,1E-05 ,1E-05 ,1E-05 ,0.0003551482 ,1E-05 ,
1E-05 ,1E-05 ,1E-05 ,0.0006480076 ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,0.001187153 ,
0.0004553415 ,0.0003188111 ,0.0006480076 ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,
0.002196614 ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,0.001121853 ,1E-05 ,1E-05 ,1E-05 ,
1E-05 ,1E-05 ,1E-05 ,1E-05 ,0.001121853 ,1E-05 ,0.001288001 ,1E-05 ,1E-05 ,
1E-05 ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,0.001288001 ,1E-05 ,0.00159191 ,1E-05 ,
1E-05 ,0.0003551482 ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,0.00159191 ,1E-05 ,0.0008457879 ,
1E-05 ,1E-05 ,0.001187153 ,1E-05 ,1E-05 ,1E-05 ,1E-05 ,0.0008457879 ,1E-05 ,
>>>>>>> 40bfd96681d3fb15419c1f12f61e1c127c397431

